feature,importance
equity,0.0011527957079235456
calls,0.0011526872595625812
third,0.0011515105571435022
for 2007,0.001151233918552144
maximum,0.001150729508336892
patent,0.0011484212852510371
shop,0.0011478219546478248
india,0.00114744757430683
new shares,0.0011469212789039019
lost,0.0011469188579306534
contract includes,0.001145705890863906
engaged,0.001145289478110698
investors,0.0011445070085228013
sale of,0.0011438550797223455
tuesday,0.0011435613378048407
equipment maker,0.0011424509250308528
29,0.001141825491834513
april 2007,0.0011416274676952813
being,0.0011415184066073864
research data,0.0011408381847457265
improve,0.0011389765792469812
share is,0.0011374084921733018
outokumpu,0.0011363392450021831
carried,0.0011360388249950378
efficient,0.0011352824949598032
turned to,0.0011348718166707904
natural,0.001133506551726323
000 for,0.0011309106749072654
rise of,0.00113065898671081
outotec,0.0011306086821171342
reports its,0.0011304532411303065
will transfer,0.0011298166828204487
generated,0.0011262771991329943
issued profit,0.0011244237835648684
it had,0.0011243620801601143
diluted,0.001124332178153741
