method,frac_removed,prob,example_idx
LIME,0.0,0.04688237980008125,25
LIME,0.1,0.11574441939592361,25
LIME,0.3,0.8552750945091248,25
LIME,0.5,0.06794240325689316,25
LIME,0.0,0.009245837107300758,26
LIME,0.1,0.009462165646255016,26
LIME,0.3,0.010359556414186954,26
LIME,0.5,0.013565934263169765,26
LIME,0.0,0.2724279463291168,27
LIME,0.1,0.43207424879074097,27
LIME,0.3,0.5361884832382202,27
LIME,0.5,0.24353452026844025,27
LIME,0.0,0.9114941358566284,28
LIME,0.1,0.6636987328529358,28
LIME,0.3,0.38114631175994873,28
LIME,0.5,0.8794205784797668,28
LIME,0.0,0.0831272229552269,29
LIME,0.1,0.19707466661930084,29
LIME,0.3,0.26567259430885315,29
LIME,0.5,0.8646654486656189,29
LIME,0.0,0.07432650774717331,30
LIME,0.1,0.10240014642477036,30
LIME,0.3,0.09551583230495453,30
LIME,0.5,0.09331998974084854,30
LIME,0.0,0.818254828453064,31
LIME,0.1,0.8239022493362427,31
LIME,0.3,0.7583446502685547,31
LIME,0.5,0.8296403288841248,31
LIME,0.0,0.04688435047864914,32
LIME,0.1,0.022694796323776245,32
LIME,0.3,0.01893177069723606,32
LIME,0.5,0.01669350638985634,32
LIME,0.0,0.039768654853105545,33
LIME,0.1,0.07231354713439941,33
LIME,0.3,0.10348165035247803,33
LIME,0.5,0.0766955316066742,33
LIME,0.0,0.047539886087179184,34
LIME,0.1,0.11776071041822433,34
LIME,0.3,0.32321736216545105,34
LIME,0.5,0.1893276572227478,34
LIME,0.0,0.022801537066698074,35
LIME,0.1,0.026517802849411964,35
LIME,0.3,0.025562698021531105,35
LIME,0.5,0.022972919046878815,35
LIME,0.0,0.14673280715942383,36
LIME,0.1,0.21514570713043213,36
LIME,0.3,0.19329281151294708,36
LIME,0.5,0.0952770859003067,36
LIME,0.0,0.20261089503765106,37
LIME,0.1,0.883758544921875,37
LIME,0.3,0.9219108819961548,37
LIME,0.5,0.9304118156433105,37
LIME,0.0,0.9469600915908813,38
LIME,0.1,0.38551682233810425,38
LIME,0.3,0.1952575445175171,38
LIME,0.5,0.9053145051002502,38
LIME,0.0,0.8675338625907898,39
LIME,0.1,0.7983902096748352,39
LIME,0.3,0.9301283359527588,39
LIME,0.5,0.7133507132530212,39
LIME,0.0,0.02823588065803051,40
LIME,0.1,0.025613538920879364,40
LIME,0.3,0.04949476569890976,40
LIME,0.5,0.08539408445358276,40
LIME,0.0,0.08914519846439362,41
LIME,0.1,0.14487695693969727,41
LIME,0.3,0.10479883849620819,41
LIME,0.5,0.1230521947145462,41
LIME,0.0,0.011068098247051239,42
LIME,0.1,0.09097965061664581,42
LIME,0.3,0.06138593703508377,42
LIME,0.5,0.04510721191763878,42
LIME,0.0,0.03861589729785919,43
LIME,0.1,0.04440747946500778,43
LIME,0.3,0.03739677369594574,43
LIME,0.5,0.025888442993164062,43
LIME,0.0,0.053811755031347275,44
LIME,0.1,0.3340241014957428,44
LIME,0.3,0.2287789285182953,44
LIME,0.5,0.1490146666765213,44
LIME,0.0,0.6992401480674744,45
LIME,0.1,0.7287985682487488,45
LIME,0.3,0.9413078427314758,45
